"subject" "activity_name" "measure" "value"
1 "WALKING" "Time_Body_Acc_Mean_X" 0.265696920582133
2 "WALKING" "Time_Body_Acc_Mean_X" 0.273113115788079
3 "WALKING" "Time_Body_Acc_Mean_X" 0.273428719636364
4 "WALKING" "Time_Body_Acc_Mean_X" 0.277034464752577
4 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_X" 0.269685855146341
5 "WALKING" "Time_Body_Acc_Mean_X" 0.279177960301325
6 "WALKING" "Time_Body_Acc_Mean_X" 0.269434151902542
6 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_X" 0.280179098426966
7 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_X" 0.270211697814935
8 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_X" 0.270759063295374
9 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_X" 0.270313841621528
10 "WALKING_DOWNSTAIRS" "Time_Body_Acc_Mean_X" 0.276238831213675
10 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_X" 0.2792260805
11 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_X" 0.27658531139557
12 "SITTING" "Time_Body_Acc_Mean_X" 0.275639357761194
12 "WALKING_DOWNSTAIRS" "Time_Body_Acc_Mean_X" 0.272145794677419
13 "SITTING" "Time_Body_Acc_Mean_X" 0.275895876198777
14 "WALKING_DOWNSTAIRS" "Time_Body_Acc_Mean_X" 0.268742494553279
14 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_X" 0.274638681518987
15 "WALKING_DOWNSTAIRS" "Time_Body_Acc_Mean_X" 0.27821340725
16 "WALKING_DOWNSTAIRS" "Time_Body_Acc_Mean_X" 0.277887440374317
17 "SITTING" "Time_Body_Acc_Mean_X" 0.27344147274375
17 "WALKING_DOWNSTAIRS" "Time_Body_Acc_Mean_X" 0.277950050208333
18 "SITTING" "Time_Body_Acc_Mean_X" 0.27795824
18 "STANDING" "Time_Body_Acc_Mean_X" 0.276177377784431
19 "SITTING" "Time_Body_Acc_Mean_X" 0.269723487105556
20 "LAYING" "Time_Body_Acc_Mean_X" 0.268210689679487
20 "STANDING" "Time_Body_Acc_Mean_X" 0.268595205636364
21 "SITTING" "Time_Body_Acc_Mean_X" 0.277466525522059
22 "SITTING" "Time_Body_Acc_Mean_X" 0.279241531908081
22 "STANDING" "Time_Body_Acc_Mean_X" 0.267565895829268
23 "STANDING" "Time_Body_Acc_Mean_X" 0.273493254730108
24 "LAYING" "Time_Body_Acc_Mean_X" 0.276767046391076
25 "STANDING" "Time_Body_Acc_Mean_X" 0.275301467772127
26 "STANDING" "Time_Body_Acc_Mean_X" 0.2730365808625
27 "LAYING" "Time_Body_Acc_Mean_X" 0.277798919328859
27 "STANDING" "Time_Body_Acc_Mean_X" 0.275223067435897
28 "LAYING" "Time_Body_Acc_Mean_X" 0.277532554764398
29 "LAYING" "Time_Body_Acc_Mean_X" 0.279111521944767
30 "LAYING" "Time_Body_Acc_Mean_X" 0.276305836721932
1 "WALKING" "Time_Body_Acc_Mean_Y" -0.0182981725176081
2 "WALKING" "Time_Body_Acc_Mean_Y" -0.0191323183174834
3 "WALKING" "Time_Body_Acc_Mean_Y" -0.017856067384956
4 "WALKING" "Time_Body_Acc_Mean_Y" -0.0133496817746907
4 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_Y" -0.0171085099442602
5 "WALKING" "Time_Body_Acc_Mean_Y" -0.0154833455336192
6 "WALKING" "Time_Body_Acc_Mean_Y" -0.0163911123936864
6 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_Y" -0.0206949591117978
7 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_Y" -0.0187904887668182
8 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_Y" -0.0181894974688612
9 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_Y" -0.0209466555412396
10 "WALKING_DOWNSTAIRS" "Time_Body_Acc_Mean_Y" -0.0188857189162821
10 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_Y" -0.0137410699333333
11 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_Y" -0.0191272531933228
12 "SITTING" "Time_Body_Acc_Mean_Y" -0.0184861388459702
12 "WALKING_DOWNSTAIRS" "Time_Body_Acc_Mean_Y" -0.0182299075608413
13 "SITTING" "Time_Body_Acc_Mean_Y" -0.0176504796070948
14 "WALKING_DOWNSTAIRS" "Time_Body_Acc_Mean_Y" -0.0166371300659426
14 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_Y" -0.0150740054405063
15 "WALKING_DOWNSTAIRS" "Time_Body_Acc_Mean_Y" -0.016464484771311
16 "WALKING_DOWNSTAIRS" "Time_Body_Acc_Mean_Y" -0.0158567888309016
17 "SITTING" "Time_Body_Acc_Mean_Y" -0.0180888559772812
17 "WALKING_DOWNSTAIRS" "Time_Body_Acc_Mean_Y" -0.0138932613754167
18 "SITTING" "Time_Body_Acc_Mean_Y" -0.01729741093
18 "STANDING" "Time_Body_Acc_Mean_Y" -0.0172818741561907
19 "SITTING" "Time_Body_Acc_Mean_Y" -0.0182031515710306
20 "LAYING" "Time_Body_Acc_Mean_Y" -0.0154394352991026
20 "STANDING" "Time_Body_Acc_Mean_Y" -0.0192867074389394
21 "SITTING" "Time_Body_Acc_Mean_Y" -0.0176664578561765
22 "SITTING" "Time_Body_Acc_Mean_Y" -0.0168623073762273
22 "STANDING" "Time_Body_Acc_Mean_Y" -0.016771104312122
23 "STANDING" "Time_Body_Acc_Mean_Y" -0.019589258786828
24 "LAYING" "Time_Body_Acc_Mean_Y" -0.0176822460103885
25 "STANDING" "Time_Body_Acc_Mean_Y" -0.0193221769314914
26 "STANDING" "Time_Body_Acc_Mean_Y" -0.0161687277463495
27 "LAYING" "Time_Body_Acc_Mean_Y" -0.0169386590334393
27 "STANDING" "Time_Body_Acc_Mean_Y" -0.0162554117217949
28 "LAYING" "Time_Body_Acc_Mean_Y" -0.0191721442063089
29 "LAYING" "Time_Body_Acc_Mean_Y" -0.018471953048314
30 "LAYING" "Time_Body_Acc_Mean_Y" -0.0175856077340209
1 "WALKING" "Time_Body_Acc_Mean_Z" -0.10784573454611
2 "WALKING" "Time_Body_Acc_Mean_Z" -0.115649958175497
3 "WALKING" "Time_Body_Acc_Mean_Z" -0.106492632429097
4 "WALKING" "Time_Body_Acc_Mean_Z" -0.105916135927835
4 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_Z" -0.110053359325203
5 "WALKING" "Time_Body_Acc_Mean_Z" -0.105661736816887
6 "WALKING" "Time_Body_Acc_Mean_Z" -0.117900692084746
6 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_Z" -0.110940029325843
7 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_Z" -0.112492375388312
8 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_Z" -0.106809623683986
9 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_Z" -0.101233826213889
10 "WALKING_DOWNSTAIRS" "Time_Body_Acc_Mean_Z" -0.112087661002564
10 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_Z" -0.1082356298
11 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_Z" -0.108941761642405
12 "SITTING" "Time_Body_Acc_Mean_Z" -0.107917262447761
12 "WALKING_DOWNSTAIRS" "Time_Body_Acc_Mean_Z" -0.105735506451613
13 "SITTING" "Time_Body_Acc_Mean_Z" -0.109135285550765
14 "WALKING_DOWNSTAIRS" "Time_Body_Acc_Mean_Z" -0.0996007059877049
14 "WALKING_UPSTAIRS" "Time_Body_Acc_Mean_Z" -0.105264366677722
15 "WALKING_DOWNSTAIRS" "Time_Body_Acc_Mean_Z" -0.112563587594512
16 "WALKING_DOWNSTAIRS" "Time_Body_Acc_Mean_Z" -0.107263924445355
17 "SITTING" "Time_Body_Acc_Mean_Z" -0.109111919458969
17 "WALKING_DOWNSTAIRS" "Time_Body_Acc_Mean_Z" -0.109786077604167
18 "SITTING" "Time_Body_Acc_Mean_Z" -0.110021546
18 "STANDING" "Time_Body_Acc_Mean_Z" -0.107940757511976
19 "SITTING" "Time_Body_Acc_Mean_Z" -0.118277180099383
20 "LAYING" "Time_Body_Acc_Mean_Z" -0.103432062417949
20 "STANDING" "Time_Body_Acc_Mean_Z" -0.111651090326263
21 "SITTING" "Time_Body_Acc_Mean_Z" -0.10877848058848
22 "SITTING" "Time_Body_Acc_Mean_Z" -0.108558951083333
22 "STANDING" "Time_Body_Acc_Mean_Z" -0.108849744982114
